bodyparts,beak,beak,beak,tail,tail,tail,left_wing,left_wing,left_wing,right_wing,right_wing,right_wing,head,head,head,back,back,back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
107,887.5664,297.41797,0.63720703,969.7422,305.16992,0.40551758,929.0078,322.26562,0.8798828,924.9492,284.386,0.56103516,906.7471,286.97266,0.7675781,928.09766,303.42383,0.80908203
108,887.6133,297.41797,0.62841797,969.2246,304.9961,0.36694336,928.9883,322.19727,0.875,925.42773,284.386,0.5517578,906.8037,286.97266,0.76123047,928.09766,303.42383,0.7915039
109,887.7578,297.71484,0.62646484,967.3281,304.9453,0.36157227,928.93164,322.19727,0.83740234,925.42773,282.97363,0.5605469,906.82227,287.26172,0.7421875,933.2197,301.17578,0.76416016
110,888.17773,297.91406,0.6040039,966.71484,304.96094,0.3798828,928.86523,322.11426,0.8364258,925.42773,282.97363,0.57910156,906.82227,287.5547,0.70947266,933.2197,301.0625,0.7495117
111,888.28125,297.91406,0.5996094,966.43555,304.96094,0.39331055,928.61914,322.01953,0.8413086,925.09375,282.97363,0.578125,906.8408,287.7793,0.69970703,933.2197,301.01562,0.72314453
112,888.6328,297.91406,0.55322266,965.88086,304.9453,0.38378906,928.5254,321.92188,0.83251953,923.84485,283.04102,0.5888672,906.8408,288.5547,0.6381836,932.8823,300.98438,0.6801758
113,888.6328,297.75,0.53027344,964.77246,304.1289,0.39916992,927.89453,321.35156,0.81689453,922.9043,283.04102,0.5830078,907.0454,288.92578,0.6064453,932.4834,300.92578,0.6357422
114,888.6328,297.75,0.51953125,964.32935,302.63086,0.4580078,927.14844,321.05078,0.81591797,921.96875,283.04102,0.59375,906.8408,289.2461,0.578125,932.00824,300.92578,0.6269531
115,888.08594,297.75,0.46118164,963.0703,302.63086,0.4909668,919.6836,318.10547,0.8261719,918.87305,282.5869,0.5991211,906.8047,293.12695,0.56689453,930.9844,300.53516,0.6020508
116,887.1133,299.7556,0.48461914,962.4092,302.32227,0.52685547,919.39453,318.10547,0.8696289,916.34204,282.15527,0.65234375,900.8213,293.12695,0.56396484,921.65625,300.40796,0.60546875
117,886.2656,300.05054,0.50683594,962.34863,302.09375,0.5878906,919.3906,318.10547,0.91259766,912.7656,281.17773,0.67333984,899.7727,293.12695,0.5317383,920.6406,299.9922,0.64453125
118,884.5166,300.27344,0.5703125,960.4746,302.09375,0.5966797,919.36523,319.47656,0.9277344,912.01953,280.08984,0.65625,899.4546,292.3208,0.58691406,919.71094,299.6931,0.6879883
119,879.1211,300.27344,0.63183594,960.25977,301.66504,0.61376953,918.0801,319.47656,0.9423828,911.2031,279.46484,0.66552734,898.6406,292.2798,0.68066406,918.33594,299.26172,0.7548828
120,874.2617,300.27344,0.59765625,959.7031,301.46973,0.59375,916.9678,319.47656,0.87402344,911.0801,279.38672,0.6567383,897.3125,291.02246,0.6513672,915.7749,298.94824,0.7915039
121,867.35156,298.23828,0.6088867,958.41016,301.46973,0.5966797,910.0215,319.09375,0.8417969,908.3164,279.23438,0.6567383,892.152,290.89062,0.6542969,913.2539,298.4834,0.7211914
122,865.78906,295.81055,0.53564453,957.56055,301.46973,0.5776367,908.91455,317.0703,0.74902344,906.21484,278.70703,0.65722656,888.33594,289.7422,0.6958008,911.39453,297.4004,0.64941406
123,865.4707,292.375,0.4897461,956.28613,301.58203,0.5991211,900.0331,312.48047,0.6953125,905.6074,278.21875,0.56396484,888.1289,285.19043,0.7524414,909.02637,294.57812,0.6225586
124,864.5586,287.90234,0.61279297,954.6162,303.5,0.6870117,893.249,308.53906,0.71728516,902.8594,277.39453,0.54833984,885.2793,279.80273,0.8588867,906.6406,291.50684,0.7402344
125,864.2578,282.36328,0.6669922,952.57227,303.78906,0.6484375,891.30615,308.4973,0.7338867,901.87305,276.96484,0.5703125,880.7383,276.8579,0.81103516,905.0664,291.48047,0.79785156
126,860,273.72656,0.72314453,949.8711,304.2168,0.62890625,891.04395,308.35083,0.75634766,899.1968,276.1593,0.5449219,877.83984,273.95312,0.7734375,902.7363,290.34766,0.8535156
127,856.7461,267.14844,0.69628906,946.8535,305.42383,0.6328125,883.78076,306.66016,0.73828125,896.71484,271.11328,0.5913086,877.8242,270.42383,0.7495117,900.2141,289.8086,0.8388672
128,854.83203,264.27734,0.6713867,945.7969,305.4336,0.80566406,882.5742,304.58984,0.7348633,893.31836,268.79297,0.6040039,870.13477,267.0962,0.8540039,897.22266,288.375,0.76123047
129,850.24414,259.0625,0.72216797,944.0078,305.76172,0.8510742,882.49414,304.2461,0.7114258,891.25684,267.71777,0.5942383,867.7334,262.61133,0.8417969,891.14307,285.38867,0.74121094
130,847.52344,256.40234,0.79541016,941.09863,308.41382,0.9975586,873.7676,297.26562,0.6738281,887.1797,266.83887,0.5805664,867.6848,260.04553,0.8198242,886.7949,284.75977,0.8183594
131,846.41016,254.89062,0.8100586,938.63086,310.50195,0.87402344,873.2461,296.85156,0.7036133,886.6621,266.83887,0.57910156,867.6848,258.8584,0.7890625,884.7549,284.44922,0.87597656
132,846.27734,253.76465,0.8461914,936.97656,314.02734,0.8095703,873.0547,296.83984,0.7294922,885.0996,267.21875,0.5629883,867.6848,257.82812,0.8334961,882.3467,283.83875,0.9272461
133,846.1797,253.33301,0.8730469,935.5332,315.60498,0.8574219,872.60547,296.375,0.76123047,881.25977,266.77344,0.5800781,867.6887,257.57812,0.8886719,879.8711,282.1582,0.9248047
134,846.1797,252.92236,0.8886719,933.9873,316.4253,0.8808594,872.43164,296.10156,0.859375,880.44727,267.21875,0.59521484,867.97534,257.1953,0.890625,879.4922,281.41797,0.90283203
135,846.27734,252.77783,0.91308594,929.82227,317.32422,0.86279297,863.34766,291.05908,0.8457031,880.20703,267.70312,0.609375,867.9889,256.6875,0.9111328,877.7344,281.32227,0.8881836
136,846.46094,252.49463,0.91748047,926.6426,317.36523,0.5859375,860.9531,289.76953,0.8486328,880.20703,267.70312,0.625,868.80615,256.6875,0.9057617,876.8125,281.32227,0.8725586
137,846.7539,252.29736,0.9145508,926.584,319,0.55371094,860.0781,288.39062,0.8178711,880.08203,267.70312,0.6196289,869.0205,256.6875,0.8876953,876.08594,280.75977,0.84814453
